Problem,Optimizer,MeanFinalValue,StdFinalValue,MeanIterations,MeanFunctionEvals,MeanGradientEvals,SuccessRate
Sphere_2D,L-BFGS-Conservative,4.280748e-3,6.134811e-4,30.6,156.2,125.6,1.000
Sphere_2D,L-BFGS-Aggressive,0.000000e0,0.000000e0,1.0,10.0,6.0,1.000
Sphere_2D,Adam-WeightDecay,4.978458e-3,2.032160e-5,555.0,1113.1,1113.1,1.000
Sphere_2D,Trust Region-Adaptive,6.684297e2,6.045353e2,12.7,41.1,27.8,0.350
Sphere_2D,Trust Region-Aggressive,7.954347e3,5.207723e3,5.2,18.6,12.7,0.300
Sphere_2D,Trust Region-Standard,1.253682e3,2.009904e3,8.1,27.1,18.2,0.100
Sphere_2D,Adam-Robust,5.861801e-2,2.407021e-2,1249.0,2502.0,2502.0,0.000
Sphere_2D,Trust Region-Conservative,1.693058e-3,1.408436e-3,199.7,602.0,402.3,1.000
Sphere_2D,GD-WeightDecay,4.665167e-3,1.713871e-4,48.6,51.6,100.3,1.000
Sphere_2D,QQN-Bisection-1,0.000000e0,0.000000e0,1.0,15.0,12.0,1.000
Sphere_2D,GD-Momentum,4.849821e-4,1.024453e-3,13.9,16.9,30.9,1.000
Sphere_2D,QQN-CubicQuadraticInterpolation,0.000000e0,0.000000e0,1.0,12.0,10.0,1.000
Sphere_2D,GD-AdaptiveMomentum,2.045804e-1,2.495158e-1,10.8,13.8,24.2,0.600
Sphere_2D,L-BFGS-MoreThuente,0.000000e0,0.000000e0,1.0,10.0,8.0,1.000
Sphere_2D,Adam-AMSGrad,7.196964e-2,3.205567e-2,1249.0,2502.0,2502.0,0.000
Sphere_2D,QQN-StrongWolfe,0.000000e0,0.000000e0,1.0,11.0,9.0,1.000
Sphere_2D,QQN-Bisection-2,0.000000e0,0.000000e0,1.0,13.0,15.0,1.000
Sphere_2D,Trust Region-Precise,6.578947e-1,7.912148e-1,37.5,115.3,77.5,0.550
Sphere_2D,Adam-Fast,8.782020e-2,5.665754e-2,15.2,33.5,32.8,0.300
Sphere_2D,QQN-GoldenSection,3.224213e-14,4.916339e-15,1.0,46.0,8.0,1.000
Sphere_2D,L-BFGS,8.789859e-5,3.315105e-4,1.8,13.5,10.0,1.000
Sphere_2D,GD-Nesterov,2.514307e-3,2.016517e-3,13.4,16.4,29.9,1.000
Sphere_2D,GD,4.925389e-3,5.430598e-5,149.6,152.6,302.1,1.000
Sphere_2D,L-BFGS-Limited,1.236501e-3,1.696804e-3,4.0,23.1,14.8,1.000
Sphere_2D,Adam,7.600045e-3,2.833832e-3,1214.4,2432.4,2432.4,0.400
