Problem Family,Optimizer Family,Average Ranking,Best Rank Average,Best Variant,Worst Variant
Ackley,Adam,16.267,12.000,Adam-AMSGrad,Adam-Fast
Ackley,GD,16.467,9.667,GD,GD-Momentum
Ackley,L-BFGS,6.533,2.333,L-BFGS,Conservative
Ackley,QQN,5.067,1.000,Bisection-1,GoldenSection
Ackley,Trust Region,20.667,13.667,Conservative,Aggressive
Barrier,Adam,16.267,10.667,WeightDecay,Adam-Fast
Barrier,GD,13.846,8.000,GD,AdaptiveMom...
Barrier,L-BFGS,6.500,2.667,Aggressive,Conservative
Barrier,QQN,4.267,1.333,Bisection-2,CubicQuadIn...
Barrier,Trust Region,19.067,14.000,Conservative,Aggressive
Beale,Adam,19.000,8.000,WeightDecay,Adam-Fast
Beale,GD,8.800,3.000,GD-Nesterov,GD-Momentum
Beale,L-BFGS,10.000,2.000,MoreThuente,Aggressive
Beale,QQN,8.800,1.000,GoldenSection,Bisection-2
Beale,Trust Region,18.400,15.000,Precise,Standard
Booth,Adam,19.200,11.000,WeightDecay,Adam-Robust
Booth,GD,14.600,10.000,GD,GD-Momentum
Booth,L-BFGS,11.000,6.000,MoreThuente,Aggressive
Booth,QQN,3.000,1.000,CubicQuadIn...,GoldenSection
Booth,Trust Region,17.200,12.000,Adaptive,Conservative
GoldsteinPrice,Adam,13.200,10.000,Adam-AMSGrad,Adam-Fast
GoldsteinPrice,GD,15.200,9.000,GD-Momentum,GD
GoldsteinPrice,L-BFGS,10.400,5.000,MoreThuente,Aggressive
GoldsteinPrice,QQN,3.200,1.000,GoldenSection,Bisection-2
GoldsteinPrice,Trust Region,23.000,21.000,Aggressive,Precise
Griewank,Adam,17.733,12.000,Adam-Fast,Adam-Robust
Griewank,GD,12.000,7.667,GD-Momentum,GD
Griewank,L-BFGS,7.867,3.667,Aggressive,L-BFGS
Griewank,QQN,6.267,1.000,StrongWolfe,CubicQuadIn...
Griewank,Trust Region,21.133,13.667,Conservative,Aggressive
Himmelblau,Adam,18.800,11.000,WeightDecay,Adam-Robust
Himmelblau,GD,14.600,9.000,GD,AdaptiveMom...
Himmelblau,L-BFGS,11.200,5.000,L-BFGS-Limited,Aggressive
Himmelblau,QQN,3.400,1.000,GoldenSection,Bisection-1
Himmelblau,Trust Region,17.000,8.000,Adaptive,Conservative
IllConditionedRosenbrock,Adam,14.200,9.000,Adam,Adam-Robust
IllConditionedRosenbrock,GD,12.467,7.000,GD-Nesterov,GD-Momentum
IllConditionedRosenbrock,L-BFGS,12.467,4.667,MoreThuente,Aggressive
IllConditionedRosenbrock,QQN,4.067,1.667,CubicQuadIn...,GoldenSection
IllConditionedRosenbrock,Trust Region,21.800,16.667,Aggressive,Conservative
Levi,Adam,14.400,11.000,Adam-Robust,Adam-Fast
Levi,GD,14.600,9.000,GD-Momentum,GD-WeightDecay
Levi,L-BFGS,11.600,3.000,L-BFGS-Limited,Aggressive
Levi,QQN,3.800,1.000,GoldenSection,Bisection-1
Levi,Trust Region,20.600,13.000,Conservative,Aggressive
Levy,Adam,15.933,10.000,WeightDecay,Adam-AMSGrad
Levy,GD,16.200,7.667,GD-WeightDecay,AdaptiveMom...
Levy,L-BFGS,9.067,6.667,Conservative,Aggressive
Levy,QQN,3.000,1.000,Bisection-2,GoldenSection
Levy,Trust Region,20.800,16.000,Conservative,Aggressive
Matyas,Adam,13.200,10.000,Adam-Fast,Adam-AMSGrad
Matyas,GD,16.000,12.000,GD-Momentum,AdaptiveMom...
Matyas,L-BFGS,8.800,3.000,L-BFGS,Aggressive
Matyas,QQN,4.000,1.000,StrongWolfe,Bisection-1
Matyas,Trust Region,23.000,21.000,Conservative,Precise
Michalewicz,Adam,6.200,1.000,Adam-Fast,Adam-Robust
Michalewicz,GD,12.067,6.667,AdaptiveMom...,GD-WeightDecay
Michalewicz,L-BFGS,14.267,7.000,MoreThuente,Aggressive
Michalewicz,QQN,11.933,6.667,Bisection-2,CubicQuadIn...
Michalewicz,Trust Region,20.533,16.333,Conservative,Aggressive
Neural Networks,Adam,9.200,2.500,WeightDecay,Adam-Robust
Neural Networks,GD,19.600,16.000,GD-WeightDecay,AdaptiveMom...
Neural Networks,L-BFGS,11.000,8.000,Conservative,L-BFGS
Neural Networks,QQN,3.800,1.000,CubicQuadIn...,StrongWolfe
Neural Networks,Trust Region,21.400,18.500,Conservative,Aggressive
NoisySphere,Adam,16.933,8.667,Adam-Fast,Adam
NoisySphere,GD,8.800,5.333,GD-Nesterov,GD-WeightDecay
NoisySphere,L-BFGS,7.400,1.000,Conservative,Aggressive
NoisySphere,QQN,9.923,2.667,StrongWolfe,CubicQuadIn...
NoisySphere,Trust Region,19.933,16.333,Conservative,Precise
PenaltyI,Adam,8.067,4.333,Adam-AMSGrad,Adam-Fast
PenaltyI,GD,12.267,9.667,GD,GD-Nesterov
PenaltyI,L-BFGS,14.267,5.667,Conservative,Aggressive
PenaltyI,QQN,7.533,1.000,CubicQuadIn...,Bisection-2
PenaltyI,Trust Region,22.867,20.667,Aggressive,Precise
Rastrigin,Adam,11.400,4.667,Adam-AMSGrad,Adam-Fast
Rastrigin,GD,14.200,7.667,GD-WeightDecay,GD-Momentum
Rastrigin,L-BFGS,14.133,3.667,MoreThuente,Aggressive
Rastrigin,QQN,9.867,3.000,CubicQuadIn...,Bisection-2
Rastrigin,Trust Region,15.400,7.000,Adaptive,Conservative
Regression,Adam,18.500,13.250,Adam-Fast,Adam-Robust
Regression,GD,13.550,8.250,GD-WeightDecay,GD
Regression,L-BFGS,8.950,4.750,Conservative,L-BFGS
Regression,QQN,3.400,1.000,Bisection-1,GoldenSection
Regression,Trust Region,20.600,17.250,Adaptive,Conservative
Rosenbrock,Adam,13.400,6.000,Adam-Fast,Adam-Robust
Rosenbrock,GD,12.133,5.000,GD-Nesterov,GD-Momentum
Rosenbrock,L-BFGS,12.600,4.000,MoreThuente,Aggressive
Rosenbrock,QQN,4.867,2.000,StrongWolfe,GoldenSection
Rosenbrock,Trust Region,22.000,17.667,Aggressive,Conservative
SVM,Adam,13.500,8.500,WeightDecay,Adam-Fast
SVM,GD,13.900,5.000,GD-WeightDecay,AdaptiveMom...
SVM,L-BFGS,9.600,3.000,Conservative,L-BFGS-Limited
SVM,QQN,6.300,2.500,StrongWolfe,GoldenSection
SVM,Trust Region,21.700,17.000,Conservative,Aggressive
Schwefel,Adam,20.067,10.667,Adam-Fast,Adam-Robust
Schwefel,GD,10.467,6.667,GD-WeightDecay,GD
Schwefel,L-BFGS,10.467,4.333,Conservative,Aggressive
Schwefel,QQN,4.267,1.000,StrongWolfe,GoldenSection
Schwefel,Trust Region,19.733,16.667,Standard,Conservative
SparseQuadratic,Adam,18.900,12.500,WeightDecay,Adam-AMSGrad
SparseQuadratic,GD,14.500,10.500,GD-WeightDecay,AdaptiveMom...
SparseQuadratic,L-BFGS,6.400,1.500,MoreThuente,L-BFGS
SparseQuadratic,QQN,4.900,1.500,GoldenSection,Bisection-1
SparseQuadratic,Trust Region,20.300,14.500,Precise,Aggressive
SparseRosenbrock,Adam,12.900,8.000,Adam-Fast,Adam-Robust
SparseRosenbrock,GD,11.800,6.000,GD-Nesterov,GD-Momentum
SparseRosenbrock,L-BFGS,15.200,4.500,MoreThuente,Aggressive
SparseRosenbrock,QQN,3.700,1.000,CubicQuadIn...,Bisection-2
SparseRosenbrock,Trust Region,21.400,19.000,Standard,Conservative
Sphere,Adam,20.100,14.500,WeightDecay,Adam-AMSGrad
Sphere,GD,13.900,10.000,GD-Momentum,AdaptiveMom...
Sphere,L-BFGS,6.100,1.000,Aggressive,Conservative
Sphere,QQN,5.300,3.000,StrongWolfe,GoldenSection
Sphere,Trust Region,19.600,14.000,Conservative,Aggressive
StyblinskiTang,Adam,16.600,4.333,WeightDecay,Adam-Robust
StyblinskiTang,GD,14.200,7.333,GD-WeightDecay,AdaptiveMom...
StyblinskiTang,L-BFGS,10.267,2.333,Conservative,Aggressive
StyblinskiTang,QQN,8.667,1.667,GoldenSection,StrongWolfe
StyblinskiTang,Trust Region,15.267,4.333,Standard,Conservative
Trigonometric,Adam,12.667,7.333,Adam,Adam-Fast
Trigonometric,GD,14.267,5.000,GD,GD-Momentum
Trigonometric,L-BFGS,12.733,5.333,MoreThuente,Aggressive
Trigonometric,QQN,4.000,1.000,CubicQuadIn...,Bisection-2
Trigonometric,Trust Region,21.333,17.667,Precise,Aggressive
Zakharov,Adam,13.400,9.333,WeightDecay,Adam-Robust
Zakharov,GD,14.667,7.333,GD,AdaptiveMom...
Zakharov,L-BFGS,11.733,6.000,MoreThuente,L-BFGS
Zakharov,QQN,3.000,1.000,Bisection-1,StrongWolfe
Zakharov,Trust Region,22.200,19.000,Adaptive,Conservative
